i	Best	Average	Worst	Best SD	Average SD	Worst SD	
1000	-226,818052813140980	-48,996967029816595	231,220008420571600	24,443972937049008	14,751586982393510	65,748626504370550	
2000	-391,661657037714200	-391,661657037713840	-391,661657037713840	0,000000000000000	0,000000000000289	0,000000000000289	
3000	-391,661657037714200	-391,661657037713840	-391,661657037713840	0,000000000000000	0,000000000000289	0,000000000000289	
4000	-391,661657037714200	-391,661657037713840	-391,661657037713840	0,000000000000000	0,000000000000295	0,000000000000289	
5000	-391,661657037714200	-391,661657037713950	-391,661657037713840	0,000000000000000	0,000000000000191	0,000000000000289	
6000	-391,661657037714200	-391,661657037714060	-391,661657037713840	0,000000000000000	0,000000000000102	0,000000000000289	
7000	-391,661657037714200	-391,661657037714060	-391,661657037713840	0,000000000000000	0,000000000000105	0,000000000000289	
8000	-391,661657037714200	-391,661657037714200	-391,661657037713840	0,000000000000000	0,000000000000021	0,000000000000289	
9000	-391,661657037714200	-391,661657037714200	-391,661657037713840	0,000000000000000	0,000000000000015	0,000000000000289	
10000	-391,661657037714200	-391,661657037714200	-391,661657037713840	0,000000000000000	0,000000000000000	0,000000000000291	
11000	-391,661657037714200	-391,661657037714200	-391,661657037713840	0,000000000000000	0,000000000000000	0,000000000000295	
12000	-391,661657037714200	-391,661657037714200	-391,661657037713900	0,000000000000000	0,000000000000000	0,000000000000242	
13000	-391,661657037714200	-391,661657037714200	-391,661657037713950	0,000000000000000	0,000000000000000	0,000000000000191	
14000	-391,661657037714200	-391,661657037714200	-391,661657037714000	0,000000000000000	0,000000000000000	0,000000000000136	
15000	-391,661657037714200	-391,661657037714200	-391,661657037714000	0,000000000000000	0,000000000000000	0,000000000000140	
16000	-391,661657037714200	-391,661657037714200	-391,661657037714000	0,000000000000000	0,000000000000000	0,000000000000142	
17000	-391,661657037714200	-391,661657037714200	-391,661657037714000	0,000000000000000	0,000000000000000	0,000000000000145	
18000	-391,661657037714200	-391,661657037714200	-391,661657037714000	0,000000000000000	0,000000000000000	0,000000000000145	
19000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000037	
20000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000037	
21000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000035	
22000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000033	
23000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000033	
24000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000032	
25000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000032	
26000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000026	
27000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000021	
28000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000021	
29000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000021	
30000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000021	
31000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000021	
32000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000018	
33000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000018	
34000	-391,661657037714200	-391,661657037714200	-391,661657037714200	0,000000000000000	0,000000000000000	0,000000000000018	
