i	Best	Average	Worst	Best SD	Average SD	Worst SD	
100	316,540378395203100	1202,785895652818200	902,123993236618600	45,648729187905810	27,581433834802226	45,334190606455884	
200	0,552224659045015	129,887210593706470	281,081584165140500	0,465569202105953	20,252400117430570	42,486503841127230	
300	0,116996597008102	7,198663624955824	45,214907949007480	0,078447124423144	1,482960942541848	14,580539210820913	
400	0,046272627221498	1,816196358531083	16,566474332513500	0,030869309061422	0,304865740614863	4,856212229211016	
500	0,024093275031490	0,816511345098111	7,458499281833655	0,016552223689523	0,095341055080514	2,721317006452672	
600	0,015599456339988	0,483338255310348	3,629193683366502	0,013377207985106	0,058264133493688	2,303827818135778	
700	0,010867537198498	0,342348480820518	2,206821821294855	0,010997755458119	0,032935211898191	1,235181999798319	
800	0,009139280543818	0,274928104397429	1,140691783159506	0,009308608165132	0,023257006524305	0,444263245916497	
900	0,007730160247565	0,241257186847762	0,779247844962017	0,009139008959959	0,013454020198599	0,264214672617187	
1000	0,004268597583705	0,222368450463032	0,601960921396346	0,007336676163843	0,011106992176014	0,242192733952966	
1100	0,004267785008320	0,208519192344936	0,488550674210161	0,007336245651341	0,011285695379398	0,179768684994398	
1200	0,002635872437648	0,202249971658585	0,413260011093260	0,005328849991304	0,010378488316386	0,122001380894427	
1300	0,002300368208103	0,197770535630197	0,375081555258864	0,004795036053738	0,010228063812319	0,129467885868204	
1400	0,002300023595911	0,193761838602282	0,334539068984892	0,004795193025035	0,010203905409674	0,107239625027083	
1500	0,002299893833354	0,191185582360725	0,324166828190290	0,004795225703898	0,010051728760547	0,108353234150439	
1600	0,002299797348783	0,189419617985834	0,293312485919850	0,004795226992357	0,009933244993599	0,085653380874921	
1700	0,002299745142268	0,188041318225652	0,266804525774065	0,004795246783771	0,010047521118439	0,037377092191950	
1800	0,002299718835806	0,186960767050241	0,255551064600678	0,004795258379108	0,010330861853701	0,029193706265909	
1900	0,002299679617555	0,186421922354935	0,253928002232736	0,004795275693687	0,010016241441730	0,029623942917456	
2000	0,002299667713950	0,186074288511976	0,252614743392340	0,004795271629704	0,010045715620116	0,029898262476386	
2100	0,002299659270018	0,185579060931438	0,246913819323226	0,004795259017771	0,010032876488544	0,026459562796282	
2200	0,002299648502914	0,185484283254745	0,243305813341390	0,004795262238255	0,010062275394947	0,027272067472582	
2300	0,002299622992829	0,185406910907411	0,243305809213572	0,004795274284177	0,009988311620179	0,027272067002449	
2400	0,002299603890362	0,185324521676597	0,241418832106162	0,004795283760361	0,009843000904635	0,027962584695207	
2500	0,002299599719368	0,185238724189934	0,240920988275861	0,004795285829489	0,009843225849653	0,028340149421681	
2600	0,002299597939613	0,185067255007992	0,238787020274213	0,004795285228394	0,009600286468083	0,027152954949723	
2700	0,002299592061992	0,184901806630358	0,237478047129715	0,004795287415666	0,009505772965766	0,024622720228266	
2800	0,002299589037320	0,184901782147066	0,237478045036647	0,004795288815792	0,009505775166177	0,024622723287116	
2900	0,002299586014105	0,184823464167736	0,237318088784399	0,004795290315482	0,009545588221217	0,024769343472254	
3000	0,002299583788543	0,184823462347956	0,237318088302227	0,004795291419536	0,009545588330314	0,024769342921147	
3100	0,002299572878733	0,184823455368970	0,237318084220427	0,004795294454101	0,009545595999234	0,024769335359883	
3200	0,002299571038763	0,184816235092448	0,237318075361059	0,004795290476240	0,009536758703962	0,024769343177970	
3300	0,002299570077237	0,184816225734826	0,237318060528567	0,004795290897989	0,009536758026319	0,024769338409877	
3400	0,002299566186917	0,184816213646290	0,237318059838784	0,004795288751037	0,009536752646727	0,024769337727196	
3500	0,002299564636163	0,184816207331122	0,237318058062046	0,004795289258385	0,009536757301559	0,024769336118693	
3600	0,002299562039150	0,184816207212625	0,237318049967918	0,004795290546693	0,009536757472357	0,024769341169731	
3700	0,002299561124786	0,184816203896360	0,237318036833660	0,004795291000284	0,009536754800186	0,024769335722433	
3800	0,002299560824260	0,184816201828477	0,237318029939147	0,004795290484863	0,009536753988009	0,024769337561435	
3900	0,002299559697458	0,184816184242385	0,237318027875427	0,004795291043846	0,009536761924353	0,024769335031831	
4000	0,002299557287774	0,184816182796007	0,237318026156635	0,004795292000498	0,009536762168411	0,024769335175182	
4100	0,002299557202846	0,184816175959735	0,237318024315724	0,004795291876015	0,009536764014381	0,024769336643770	
4200	0,002299557202846	0,184816165940950	0,237318021212944	0,004795291876015	0,009536767204043	0,024769339620211	
4300	0,002299556561456	0,184816162967602	0,237318021192521	0,004795292194191	0,009536769030593	0,024769339638891	
4400	0,002299556239294	0,184816155999117	0,237318019420379	0,004795292354008	0,009536771063738	0,024769339998916	
4500	0,002299555838667	0,184816154495860	0,237318019323883	0,004795291275383	0,009536772103183	0,024769339967799	
4600	0,002299554040168	0,184816152381141	0,237318018892795	0,004795292167574	0,009536773960832	0,024769340238964	
4700	0,002299553890585	0,184816145712226	0,237318017256734	0,004795292241778	0,009536774587269	0,024769338599718	
4800	0,002299553393961	0,184816145430486	0,237318013663900	0,004795292488142	0,009536774717329	0,024769337153288	
4900	0,002299553393961	0,184816143653762	0,237318012257186	0,004795292488142	0,009536772898066	0,024769336699664	
5000	0,002299552001737	0,184816142736700	0,237318009963701	0,004795293178791	0,009536773489740	0,024769335896196	
5100	0,002299551646595	0,184816142736700	0,237318009799881	0,004795293354969	0,009536773489740	0,024769335761539	
5200	0,002299551524413	0,184816140797621	0,237318009762237	0,004795293240768	0,009536773802936	0,024769335819272	
5300	0,002299547660665	0,184816137745426	0,237318009721429	0,004795295097924	0,009536773468974	0,024769335802241	
5400	0,002299547502064	0,184816136181057	0,237318008176142	0,004795295176602	0,009536775290120	0,024769336431991	
5500	0,002299547440608	0,184816135564128	0,237318007516511	0,004795295207089	0,009536774595702	0,024769336400441	
5600	0,002299546663893	0,184816132093843	0,237318007446636	0,004795295592398	0,009536771662777	0,024769336428917	
5700	0,002299546663893	0,184816130819144	0,237318006362293	0,004795295592398	0,009536772836678	0,024769336848579	
5800	0,002299546650839	0,184816128665206	0,237318006362293	0,004795295598874	0,009536773046331	0,024769336848579	
5900	0,002299546534410	0,184816128316329	0,237318006321630	0,004795295285407	0,009536772845773	0,024769336814285	
6000	0,002299546086963	0,184816126006795	0,237318006200664	0,004795295295346	0,009536769638998	0,024769336741546	
6100	0,002299546014361	0,184816124899135	0,237318005507836	0,004795295176974	0,009536768268539	0,024769336521134	
6200	0,002299545875856	0,184816124230151	0,237318004154273	0,004795295094580	0,009536768865548	0,024769335025114	
6300	0,002299545875856	0,184816122967716	0,237318003948707	0,004795295094580	0,009536768717083	0,024769334790157	
6400	0,002299545792414	0,184816120307760	0,237318003905987	0,004795295135974	0,009536769580462	0,024769334847368	
6500	0,002299545782485	0,184816120018664	0,237318003905932	0,004795295140899	0,009536769804212	0,024769334847440	
6600	0,002299545774937	0,184816119441172	0,237318002666177	0,004795295144643	0,009536769613164	0,024769335459160	
6700	0,002299545685321	0,184816118432800	0,237318001289676	0,004795295189100	0,009536769719545	0,024769336718176	
6800	0,002299545648603	0,184816118389190	0,237318001289676	0,004795295207315	0,009536769697990	0,024769336718176	
6900	0,002299545524796	0,184816117447461	0,237318001056874	0,004795295240624	0,009536769821595	0,024769336643105	
7000	0,002299545344168	0,184816116727501	0,237318001056874	0,004795295215338	0,009536769358168	0,024769336643105	
7100	0,002299545344168	0,184816115950311	0,237318000766781	0,004795295215338	0,009536768414364	0,024769336453442	
7200	0,002299545198238	0,184816115127386	0,237318000728626	0,004795295182921	0,009536768296089	0,024769336448633	
7300	0,002299545198238	0,184816114318991	0,237318000566227	0,004795295182921	0,009536768609678	0,024769336641829	
7400	0,002299545198238	0,184816113920269	0,237318000560144	0,004795295182921	0,009536768731690	0,024769336633861	
7500	0,002299544562786	0,184816113374939	0,237318000560144	0,004795295403928	0,009536768754332	0,024769336633861	
7600	0,002299544562786	0,184816112882982	0,237318000445986	0,004795295403928	0,009536768783877	0,024769336795536	
7700	0,002299544541676	0,184816112875681	0,237318000311378	0,004795295414400	0,009536768794400	0,024769336655668	
7800	0,002299544424637	0,184816111317050	0,237318000311378	0,004795295472460	0,009536769346083	0,024769336655668	
7900	0,002299544424637	0,184816110665620	0,237318000268759	0,004795295472460	0,009536769542372	0,024769336656068	
