i	Best	Average	Worst	Best SD	Average SD	Worst SD	
1000	-234,125093316743350	-52,988882052210580	268,155298649784700	21,962396759098926	11,258622139957943	50,259820705830120	
2000	-391,661656140873730	-391,661629795063800	-391,661211608710000	0,000000628115960	0,000004323085538	0,000191633077533	
3000	-391,661656816820700	-391,661650890920900	-391,661564494648600	0,000000158973204	0,000001075866875	0,000053253059439	
4000	-391,661656948488600	-391,661654522335900	-391,661613584026550	0,000000053988142	0,000000360839431	0,000016464685691	
5000	-391,661656984963100	-391,661655584915700	-391,661629985645400	0,000000030495594	0,000000161276452	0,000011197407796	
6000	-391,661657002266300	-391,661656158798730	-391,661640532975350	0,000000017308561	0,000000113109935	0,000008982739591	
7000	-391,661657016054900	-391,661656454504400	-391,661646147132160	0,000000012924542	0,000000091205246	0,000008019251785	
8000	-391,661657020962370	-391,661656614796600	-391,661649104595200	0,000000010062177	0,000000058923240	0,000005225307154	
9000	-391,661657025548950	-391,661656719812130	-391,661652055714850	0,000000007734348	0,000000055017252	0,000001865824935	
10000	-391,661657027416600	-391,661656789342200	-391,661653328134000	0,000000005725614	0,000000034313320	0,000001282474345	
11000	-391,661657029938100	-391,661656840131900	-391,661653840383960	0,000000004421687	0,000000027124015	0,000001091120172	
12000	-391,661657032081170	-391,661656875846600	-391,661654565757830	0,000000002738758	0,000000020547175	0,000000907011933	
13000	-391,661657032918870	-391,661656899156470	-391,661654931318200	0,000000002316077	0,000000018302629	0,000000689707782	
14000	-391,661657033376970	-391,661656917104840	-391,661655264095940	0,000000001971501	0,000000016810025	0,000000624790824	
15000	-391,661657033675200	-391,661656935189700	-391,661655556278600	0,000000001991787	0,000000013020016	0,000000512600059	
16000	-391,661657034109060	-391,661656948396700	-391,661655689779400	0,000000002023178	0,000000014198565	0,000000501827592	
17000	-391,661657034645260	-391,661656958865360	-391,661655897532060	0,000000001643568	0,000000013670973	0,000000449882111	
18000	-391,661657035048300	-391,661656967945700	-391,661656065626800	0,000000001384807	0,000000012109422	0,000000400435836	
19000	-391,661657035557600	-391,661656975921300	-391,661656104322100	0,000000001095786	0,000000010106213	0,000000401319852	
20000	-391,661657035713300	-391,661656983008470	-391,661656187819060	0,000000001064835	0,000000009475426	0,000000409577845	
21000	-391,661657035795400	-391,661656989028500	-391,661656259122000	0,000000000974475	0,000000008690335	0,000000361961910	
22000	-391,661657035904340	-391,661656993583100	-391,661656337732270	0,000000000915908	0,000000008176218	0,000000321215444	
23000	-391,661657036104260	-391,661656997292370	-391,661656377692400	0,000000000872154	0,000000008287595	0,000000281067450	
24000	-391,661657036190040	-391,661657001857000	-391,661656433008150	0,000000000874558	0,000000007149678	0,000000308054342	
25000	-391,661657036272000	-391,661657004524500	-391,661656491995700	0,000000000855787	0,000000006745002	0,000000261512499	
26000	-391,661657036317930	-391,661657007428350	-391,661656516686700	0,000000000812407	0,000000006054414	0,000000252974670	
27000	-391,661657036515200	-391,661657009963300	-391,661656580493230	0,000000000677474	0,000000005492123	0,000000241864266	
28000	-391,661657036666300	-391,661657012293100	-391,661656635693000	0,000000000580661	0,000000004417967	0,000000240335165	
29000	-391,661657036718960	-391,661657014541330	-391,661656666312100	0,000000000555947	0,000000003486599	0,000000226525997	
30000	-391,661657036742440	-391,661657016453100	-391,661656682134600	0,000000000543311	0,000000003475656	0,000000234080081	
31000	-391,661657036852150	-391,661657018069260	-391,661656711568870	0,000000000462446	0,000000003085582	0,000000201715880	
32000	-391,661657036898800	-391,661657019522640	-391,661656730203800	0,000000000475646	0,000000002612174	0,000000162776542	
33000	-391,661657036924500	-391,661657020760970	-391,661656756610060	0,000000000478200	0,000000002586117	0,000000145328606	
34000	-391,661657036968170	-391,661657021748450	-391,661656763132800	0,000000000462158	0,000000002167562	0,000000147482265	
